,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop
0,1637118000,267.81,260.81,1025,84,265.79,0.0,13,10000,6.87,258,13.61,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0
1,1637121600,267.79,260.79,1025,85,265.91,0.0,13,10000,6.85,259,13.6,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0
2,1637125200,267.99,260.99,1025,84,265.97,0.0,12,10000,6.79,260,13.41,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0
3,1637128800,268.87,261.87,1025,81,266.41,0.42,11,10000,7.19,262,13.11,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0
4,1637132400,270.25,263.25,1024,75,266.87,0.68,7,10000,7.98,270,12.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0
5,1637136000,272.0,265.46,1025,69,266.94,0.92,8,10000,7.68,280,11.1,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0
6,1637139600,272.7,266.5,1024,66,267.21,0.95,23,10000,7.37,278,10.32,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0
7,1637143200,273.12,267.05,1024,66,267.48,0.9,34,10000,7.34,280,10.1,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0
8,1637146800,273.18,267.59,1024,69,268.17,0.53,44,10000,6.3,274,10.2,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0
9,1637150400,272.53,266.96,1024,72,268.14,0.21,48,10000,5.91,273,10.1,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0
10,1637154000,271.61,266.3,1024,77,268.11,0.0,92,10000,5.02,273,9.81,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0
11,1637157600,271.34,266.17,1025,80,268.29,0.0,96,10000,4.69,267,10.1,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0
12,1637161200,270.91,265.78,1025,83,268.31,0.0,97,10000,4.46,269,9.81,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0
13,1637164800,269.94,264.95,1025,88,268.1,0.0,91,10000,3.97,267,9.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0
